Sentence,IsBunin
следующий рассказ плод досужего вымысла,0
описанное произойти киев год тридцать свято мелкий подробность сохраняться предание семейство пойти речь,0
сторона изменить имя действовать лицо трогательный история придать устный рассказ письменный форма александр иванович куприн александр иванович куприн чудесный доктор следующий рассказ плод досужего вымысла,0
описанное произойти киев год тридцать свято мелкий подробность сохраняться предание семейство пойти речь,0
сторона изменить имя действовать лицо трогательный история придать устный рассказ письменный форма,0
гриш гриш,0
гляди,0
поросёнок,0
смеяться,0
,0
рот,0
смотреть смотреть,0
травка рот бог травка,0
штука,0
двое мальчуган стоить огромный цельный стекло окном гастрономический магазин приняться неудержимо хохотать толкая друг друга бок локтями невольно приплясывать жестокий стужа,0
пять минута торчать великолепный выставка возбуждавшей одинаковый степень ум желудки,0
осветить яркий свет висеть лампа возвышались целый гора красный крепкий яблоков апельсин стоять правильный пирамида мандарин нежно золотившихся окутывать папиросный бумага протянулись блюдо уродливый разинуть рот выпучить глаз огромный копчёный маринованные рыба окружить гирлянда колбаса красоваться сочный разрезанные окорока толстый слой розоватый сала,0
бесчисленный множество баночка коробочка солёный варёный копчёный закуска довершало эффектный картина глядеть мальчик минута забыть двенадцатиградусном мороз важный поручение возложить мать поручение окончившемся неожиданно плачевно,0
старший мальчик первый оторваться созерцание очаровательный зрелище,0
дёрнуть брат рукав произнести сурово володя идти идти,0
,0
Одновременно подавить тяжёлый вздох старший десять год утро есть пустой щей кинуть последний влюбленно жадный взгляд гастрономический выставка мальчуган торопливо побежать улица,0
запотеть окно дом видеть ёлка издать громадный гроздь яркий сиять пятно слышать звук весёлый полька,0
мужественно гнать прочь соблазнительный мысль остановиться секунда прильнуть глазок стекло,0
мера идти мальчик малолюдный тёмный становиться улица,0
прекрасный магазин сиять ёлка рысаки мчавшиеся синий красный сетка визг полоз праздничный оживление толпа весёлый гул окрик разговор разрумянить мороз смеяться лицо нарядный дама остаться позади,0
потянулись пустырь кривой узкий переулок мрачный неосвещённый косогор,0
достигнуть покоситься ветхий дом стоять особняк низ подвал каменный верх деревянный,0
обойти тесный обледенелый грязный двор служившим жилец естественный помойный яма спуститься подвал пройти темнота общий коридор отыскать ощупью дверь отворить,0
год жить мерцаловы подземелье,0
мальчуган успеть привыкнуть закоптелый плакать сырость стен мокрым отрепкам сушившимся протянуть комната верёвка ужасный запах керосиновый чад детский грязный бельё крыса настоящий запах нищета,0
сегодня видеть улица праздничный ликование чувствовать повсюду маленький детский сердце сжаться острый недетский страдание,0
угол грязный широкий постель лежать девочка год семь лицо гореть дыхание короткий затруднительно широко раскрыть блестеть глаз смотреть пристально бесцельно,0
постель люльке привесить потолок кричать морщась надрываться захлёбываться грудной ребёнок,0
высокий худой женщина измождённый усталый почернеть горе лицо стоять колено больной девочка поправлять подушка время забывать подталкивать локоть качаться колыбель,0
мальчик войти следом стремительно ворваться подвал белый клуб морозный воздух женщина обернуть встревоженное лицо,0
,0
спросить отрывисто нетерпеливо,0
мальчик молчать,0
гриша шумно вытереть нос рукав пальто переделать старый ватный халат,0
отнести письмо,0
гриша спрашивать отдать письмо отдать сиплый мороз голос ответить гриша,0
,0
сказать учить,0
говорить мерцалова письмо ваш бывший управляющего,0
обругать убираться говорить,0
сволочь,0
разговаривать,0
говорить толком гриша швейцар разговаривать,0
,0
говорить взять дяденька письмо передайте ответ подожду,0
говорить говорить держи карман,0
барин время письмо читать учить сказать,0
машутка больной,0
помирать,0
говорить папа место найти отблагодарить савелий петрович бог отблагодарит,0
время звонок зазвонить зазвонить говорить убираться чёрт,0
дух ваш,0
володька затылок ударить затылок сказать володя следивший внимание рассказ брат почесать затылок,0
старший мальчик приняться озабоченно рыться глубокий карман халат,0
вытащить измятый конверт положить стол сказать письмо,0
мать расспрашивала,0
долгий время душный промозглый комната слышаться неистовый крик младенец короткий частый дыхание машутки похожий беспрерывный однообразный стон,0
мать сказать обернувшись борщ обед остаться,0
поесть,0
холодный разогреть,0
время коридор послышаться чей неуверенный шаг шуршание рука отыскивать темнота дверь,0
мать мальчик трое побледнев напряжённый ожидание обернуться сторона,0
войти мерцалов,0
летний пальто летний войлочный шляпа калоша,0
рука взбухли посинеть мороз глаз провалиться щека облипнуть десна мертвец,0
сказать жена ни слово задать ни вопрос,0
понять друг друга отчаяние прочесть друг друга глаз,0
ужасный роковой год несчастие несчастие настойчиво безжалостно сыпаться мерцалова семья,0
заболеть брюшной тиф лечение уйти скудный сбережение,0
поправиться узнать место скромный место управляющего дом двадцать пять рубль месяц занять,0
начаться отчаянный судорожный погоня случайный работа переписка ничтожный место залог перезалог вещь продажа хозяйственный тряпья,0
пойти болеть ребёнок,0
три месяц умереть девочка лежать жара сознание,0
елизавета ивановне приходиться одновременно ухаживать больной девочка кормить грудь маленький ходить конец город дом поденно стирать бельё,0
сегодняшний день занять нечеловеческий усилие выжать копейка лекарство машутке,0
цель мерцалов обегать полгорода клянча унижаться повсюду елизавета иванович ходить барыня ребёнок послать письмо барин дом управлять мерцалов,0
отговаривались праздничный хлопотами неимение деньга,0
иные швейцар бывший патрон напросто гнать проситель крыльцо,0
минута десять произнести ни слово,0
мерцалов быстро подняться сундук сидеть решительный движение надвинуть глубокий лоб истрепанную шляпа,0
,0
тревожно спросить елизавета иванович,0
мерцалов взявшийся ручка дверь обернуться,0
равный сидение помочь хрипло ответить,0
пойду,0
милостыня попробую просить,0
выйти улица пойти бесцельно вперёд,0
искать ни надеяться,0
пережить жгучий время бедность мечтать найти улица бумажник деньга получить внезапно наследство неизвестный троюродный дядюшки,0
овладеть неудержимый желание бежать попасть бежать оглядка видеть молчаливый отчаяние голодный семья,0
просить милостыня,0
попробовать средство сегодня два раз,0
первый раз господин енотовый шуба прочесть наставление работать клянчить второй обещать отправить полиция,0
Незаметно мерцалов очутиться центр город ограда густой общественный сад,0
прийтись время идти гора запыхаться почувствовать усталость,0
Машинально свернуть калитка пройти длинный аллея лип занести снег опуститься низкий садовый скамейка,0
тихий торжественный,0
дерево окутать белый риза дремать неподвижный величие,0
верхний ветка срываться кусочек снег слышный шуршать падать цепляться ветвь,0
глубокий тишина великий спокойствие сторожившие сад пробудить истерзанной душа мерцалова нестерпимый жаждать спокойствие тишина,0
лечь заснуть думать забыть жена голодный ребёнок больной машутке,0
просунуть рука жилет мерцалов нащупать толстый верёвка служившую пояс,0
мысль самоубийство совершенно ясно встать голова,0
ужаснуться мысль ни мгновение содрогнулся мрак неизвестный,0
погибать медленно хороший избрать краткий путь,0
встать исполнить страшный намерение время конец аллея послышаться скрип шаг отчетливо раздавшийся морозный воздух,0
мерцалов озлобление обернуться сторона,0
идти аллея,0
видный огонёк вспыхивать потухавшей сигара,0
мерцалов помалу разглядеть старик небольшой рост тёплый шапка меховой пальто высокий калоша,0
поравняться скамейка незнакомец круто повернуть сторона мерцалова слегка дотрагиваться шапка спросить позволите присесть,0
мерцалов умышленно резко отвернуться незнакомец подвинуться край скамейка,0
минута пять пройти обоюдный молчание продолжение незнакомец курить сигара мерцалов чувствовать искоса наблюдать сосед,0
ночка славный заговорить незнакомец,0
морозный тихий,0
прелесть русский зима голос мягкий ласковый старческий,0
мерцалов молчать оборачиваться ребятишкам знакомым подарочки купить продолжать незнакомец рука свёрток,0
дорога утерпеть сделать круг сад пройти,0
мерцалов кроткий застенчивый человек последний слово незнакомец охватить прилив отчаянный злоба,0
резкий движение повернуться сторона старик закричать нелепо размахивать рука задыхаться подарочки,0
подарочки,0
знакомый ребятишкам подарочки,0
милостивый государь настоящий минута ребятишки голод дома подыхать,0
подарочек,0
жена молоко пропасть грудной ребёнок целый день,0
подарочек,0
мерцалов ожидать беспорядочный озлобить крик старик подняться уйти ошибиться,0
старик приблизить умный серьёзный лицо седой бак сказать дружелюбно серьёзный тон подождать волноваться,0
рассказать порядок,0
вместе придумаем,0
необыкновенный лицо незнакомец спокойный внушать доверие мерцалов малый утайка страшно волноваться спешить передать история,0
рассказать болезнь потеря место смерть ребёнок обо несчастие нынешний день,0
незнакомец слушать перебивать ни слово пытливый пристальный заглядывал глаз желать проникнуть самую глубь наболевшей возмущенной душа,0
быстрый юношеский движение вскочить место схватить мерцалова рука,0
мерцалов невольно встать,0
едемте сказать незнакомец увлекать рука мерцалова,0
едемте,0
счастие встретиться врач,0
ни ручаться поедемте,0
минута десять мерцалов доктор входить подвал,0
елизавета иванович лежать постель больной дочь зарыться лицо грязный замаслиться подушка,0
мальчишки хлебать борщ сидеть место,0
испугать долгий отсутствие отец неподвижность мать плакать размазывать слеза лицо грязный кулак обильно проливать закоптить чугунок,0
войти комната доктор скинуть пальто остаться старомодный поношенный сюртук подойти елизавета иванович,0
поднять голова приближение,0
полно полно голубушка заговорить доктор ласково погладить женщина спина,0
вставать,0
,0
,0
показать ваш больной,0
сад ласковый убедительное звучавшее голос заставить елизавета ивановну миг подняться постель беспрекословно исполнить говорить доктор,0
два минута гришка растапливать печка дровами чудесный доктор послать сосед володя раздувать из сила самовар елизавета иванович обворачивала машутку согревающим компресс,0
погодя явиться мерцалов,0
три рубль получить доктор успеть купить время чаю сахар булок достать близкий трактир горячий пища,0
доктор сидеть стол писать клочок бумажка вырвать записной книжка,0
окончить занятие изобразить своеобразный крючок подпись встать прикрыть написать чайный блюдечком сказать бумажка пойти аптека,0
два час чайный ложка,0
вызвать малютка отхаркивание,0
продолжать согревать компресс,0
ваш дочь сделаться лучше всякий случай пригласить завтра доктор афросимова,0
дельный врач хороший человек,0
предупрежу,0
прощать господь,0
дать бог наступать год снисходительный отнестись главный падать дух,0
пожать рука мерцалову елизавета ивановне оправившимся изумление потрепать мимоходом щека разинуть рот володю доктор быстро всунуть нога глубокий калоши надеть пальто,0
мерцалов опомниться доктор коридор кинуться вслед,0
темнота разобрать мерцалов закричать наугад доктор,0
доктор постоять,0
сказать имя доктор,0
ребёнок молиться,0
водить воздух рука поймать невидимый доктор,0
время другом конец коридор спокойный старческий голос произнести,0
пустяк выдумать,0
возвращайтесь домой скорый,0
возвратиться ожидать сюрприз чайный блюдцем вместе рецепт чудесный доктор лежать крупный кредитный билет,0
вечер мерцалов узнать фамилия неожиданный благодетель,0
аптечный ярлык прикрепить пузырёк лекарство четкою рукою аптекарь написать рецепт профессор пирогов,0
слышать рассказ неоднократно уст григорий емельянович мерцалова гришка описать сочельник проливал слеза закоптелый чугунок пустой борщом,0
занимать крупный ответственный пост банк слывя образец честность отзывчивость нужда бедность,0
раз заканчивать повествование чудесный доктор прибавлять голос дрожать скрываемых слеза благодетельный ангел снизойти семья,0
перемениться,0
январь отец отыскать место машутка встать нога брат удаться пристроить гимназия казённый счёт,0
чудо совершить святой человек,0
чудесный доктор раз видеть перевозить мёртвый собственный имение вишню,0
видеть великий мощный святой жить гореть чудесный доктор жизнь угаснуть невозвратимый,0
казарма восьмой рота окончить вечерний перекличка пропеть молитва,0
одиннадцатый час человек спешить раздеваться,0
завтра воскресение воскресение должностной вставать час александр иванович куприн александр иванович куприн ночной смена казарма восьмой рота окончить вечерний перекличка пропеть молитва,0
одиннадцатый час человек спешить раздеваться,0
завтра воскресение воскресение должностной вставать час,0
дневальный лука меркулов заступить смена,0
два час пополуночи спать ходить казарма шинель шапка штык бок следить порядок покраж человек выбегать двор раздетый помещение проникать посторонний лицо,0
случай посещение начальство обязанный рапортовать благополучие произойти,0
меркулов дневалить очередь наказание пройти понедельник время подготовительный стрельба упражнение скатанная шинель обвязать ремённый трынчиком украсть верёвочка,0
дневалить день третий раз доставаться самые тяжёлый ночной час,0
меркулов плохой фронтовик,0
сказать ленив нестарателен,0
даваться сложный искусство чисто делать ружейный приём вытягивать маршировка носок нога подаваться корпус вперёд должный степень затаивать дыхание момент спуск ударник стрельба,0
